Pos;Driver;Nationality;Team;Points
1;Lewis Hamilton;British;Mercedes;384
2;Nico Rosberg;German;Mercedes;317
3;Daniel Ricciardo;Australian;Red Bull Racing-Renault;238
4;Valtteri Bottas;Finnish;Williams-Mercedes;186
5;Sebastian Vettel;German;Red Bull Racing-Renault;167
6;Fernando Alonso;Spanish;Ferrari;161
7;Felipe Massa;Brazilian;Williams-Mercedes;134
8;Jenson Button;British;McLaren-Mercedes;126
9;Nico Hulkenberg;German;Force India-Mercedes;96
10;Sergio Perez;Mexican;Force India-Mercedes;59
11;Kevin Magnussen;Danish;McLaren-Mercedes;55
12;Kimi Räikkönen;Finnish;Ferrari;55
13;Jean-Eric Vergne;French;STR-Renault;22
14;Romain Grosjean;French;Lotus-Renault;8
15;Daniil Kvyat;Russian;STR-Renault;8
16;Pastor Maldonado;Venezuelan;Lotus-Renault;2
17;Jules Bianchi;French;Marussia-Ferrari;2
18;Adrian Sutil;German;Sauber-Ferrari;0
19;Marcus Ericsson;Swedish;Caterham-Renault;0
20;Esteban Gutierrez;Mexican;Sauber-Ferrari;0
21;Max Chilton;British;Marussia-Ferrari;0
22;Kamui Kobayashi;Japanese;Caterham-Renault;0
23;Will Stevens;British;Caterham-Renault;0
24;Andre Lotterer;German;Caterham-Renault;0
