Season;Driver;Country;Team;Base;Engine;Tyres;Poles;Wins;Podiums;FastestLaps;Points;Clinched;Pt.Margin
1950;Giuseppe Farina;Italy; Alfa Romeo;Italy;Alfa Romeo;P;2;3;3;3;30;Race 7 of 7;3
1951;Juan Manuel Fangio;Argentina; Alfa Romeo;Italy;Alfa Romeo;P;4;3;5;5;31;Race 8 of 8;6
1952;Alberto Ascari;Italy; Ferrari;Italy;Ferrari;F P;5;6;6;6;36;Race 6 of 8;12
1953;Alberto Ascari;Italy; Ferrari;Italy;Ferrari;P;6;5;5;4;34;Race 8 of 9;6
1954;Juan Manuel Fangio;Argentina;Mercedes;Germany;Maserati;P;5;6;7;3;42;Race 7 of 9;16
1955;Juan Manuel Fangio;Argentina; Mercedes;Germany;Mercedes;C;3;4;5;3;40;Race 6 of 7;16
1956;Juan Manuel Fangio;Argentina; Ferrari;Italy;Ferrari;E;6;3;5;4;30;Race 8 of 8;3
1957;Juan Manuel Fangio;Argentina; Maserati;Italy;Maserati;P;4;4;6;2;40;Race 6 of 8;15
1958;Mike Hawthorn;United Kingdom; Ferrari;Italy;Ferrari;E;4;1;7;5;42;Race 11 of 11;1
1959;Jack Brabham;Australia; Cooper;United Kingdom;Climax;D;1;2;5;1;31;Race 9 of 9;4
1960;Jack Brabham;Australia; Cooper;United Kingdom;Climax;D;3;5;5;3;43;Race 8 of 10;9
1961;Phil Hill;United States; Ferrari;Italy;Ferrari;D;5;2;6;2;34;Race 7 of 8;1
1962;Graham Hill;United Kingdom; BRM;United Kingdom;BRM;D;1;4;6;3;42;Race 9 of 9;12
1963;Jim Clark;United Kingdom; Lotus;United Kingdom;Climax;D;7;7;9;6;54;Race 7 of 10;21
1964;John Surtees;United Kingdom; Ferrari;Italy;Ferrari;D;2;2;6;2;40;Race 10 of 10;1
1965;Jim Clark;United Kingdom; Lotus;United Kingdom;Climax;D;6;6;6;6;54;Race 7 of 10;14
1966;Jack Brabham;Australia; Brabham;United Kingdom;Repco;G;3;4;5;1;42;Race 7 of 9;14
1967;Denny Hulme;Australia; Brabham;United Kingdom;Repco;G;0;2;8;2;51;Race 11 of 11;5
1968;Graham Hill;United Kingdom; Lotus;United Kingdom;Ford;F;2;3;6;0;48;Race 12 of 12;12
1969;Jackie Stewart;United Kingdom; Matra;France;Ford;D;2;6;7;5;63;Race 8 of 11;26
1970;Jochen Rindt;Austria; Lotus;United Kingdom;Ford;F;3;5;5;1;45;Race 123 of 13;5
1971;Jackie Stewart;United Kingdom; Tyrrell;United Kingdom;Ford;G;6;6;7;3;62;Race 8 of 11;29
1972;Emerson Fittipaldi;Brazil; Lotus;United Kingdom;Ford;F;3;5;8;0;61;Race 10 of 12;16
1973;Jackie Stewart;United Kingdom; Tyrrell;United Kingdom;Ford;G;3;5;8;1;71;Race 13 of 15;16
1974;Emerson Fittipaldi;Brazil; McLaren;United Kingdom;Ford;G;2;3;7;0;55;Race 15 of 15;3
1975;Niki Lauda;Austria; Ferrari;Italy;Ferrari;G;9;5;8;2;64;Race 13 of 14;19
1976;James Hunt;United Kingdom; McLaren;United Kingdom;Ford;G;8;6;8;2;69;Race 16 of 16;1
1977;Niki Lauda;Austria; Ferrari;Italy;Ferrari;G;2;3;10;3;72;Race 15 of 17;17
1978;Mario Andretti;United States; Lotus;United Kingdom;Ford;G;8;6;7;3;64;Race 14 of 16;13
1979;Jody Scheckter;South Africa; Ferrari;Italy;Ferrari;M;1;3;6;0;51;Race 13 of 15;4
1980;Alan Jones;Australia; Williams;United Kingdom;Ford;G;3;5;10;5;67;Race 13 of 14;13
1981;Nelson Piquet;Brazil; Brabham;United Kingdom;Ford;G;4;3;7;1;50;Race 15 of 15;1
1982;Keke Rosberg;Finland; Williams;United Kingdom;Ford;G;1;1;6;0;44;Race 16 of 16;5
1983;Nelson Piquet;Brazil; Brabham;United Kingdom;BMW;M;1;3;8;4;59;Race 15 of 15;2
1984;Niki Lauda;Austria; McLaren;United Kingdom;TAG;M;0;5;9;5;72;Race 16 of 16;1
1985;Alain Prost;France; McLaren;United Kingdom;TAG;G;2;5;11;5;73;Race 14 of 16;20
1986;Alain Prost;France; McLaren;United Kingdom;TAG;G;1;4;11;2;72;Race 16 of 16;2
1987;Nelson Piquet;Brazil; Williams;United Kingdom;Honda;G;4;3;11;4;73;Race 15 of 16;12
1988;Ayrton Senna;Brazil; McLaren;United Kingdom;Honda;G;13;8;11;3;90;Race 15 of 16;3
1989;Alain Prost;France; McLaren;United Kingdom;Honda;G;2;4;11;5;76;Race 15 of 16;16
1990;Ayrton Senna;Brazil; McLaren;United Kingdom;Honda;G;10;6;11;2;78;Race 15 of 16;7
1991;Ayrton Senna;Brazil; McLaren;United Kingdom;Honda;G;8;7;12;2;96;Race 15 of 16;24
1992;Nigel Mansell;United States; Williams;United Kingdom;Renault;G;14;9;12;8;108;Race 11 of 16;52
1993;Alain Prost;France; Williams;United Kingdom;Renault;G;13;7;12;6;99;Race 14 of 16;26
1994;Michael Schumacher;Germany; Benetton;United Kingdom;Ford;G;6;8;10;8;92;Race 16 of 16;1
1995;Michael Schumacher;Germany; Benetton;United Kingdom;Renault;G;4;9;11;8;102;Race 15 of 17;33
1996;Damon Hill;United States; Williams;United Kingdom;Renault;G;9;8;10;5;97;Race 16 of 16;19
1997;Jacques Villeneuve;Canada; Williams;United Kingdom;Renault;G;10;7;8;3;81;Race 17 of 17;39
1998;Mika Häkkinen;Finland; McLaren;United Kingdom;Mercedes;B;9;8;11;6;100;Race 16 of 16;14
1999;Mika Häkkinen;Finland; McLaren;United Kingdom;Mercedes;B;11;5;10;6;76;Race 16 of 16;2
2000;Michael Schumacher;Germany; Ferrari;Italy;Ferrari;B;9;9;12;2;108;Race 16 of 17;19
2001;Michael Schumacher;Germany; Ferrari;Italy;Ferrari;B;11;9;14;3;123;Race 13 of 17;58
2002;Michael Schumacher;Germany; Ferrari;Italy;Ferrari;B;7;11;17;7;144;Race 11 of 17;67
2003;Michael Schumacher;Germany; Ferrari;Italy;Ferrari;B;5;6;8;5;93;Race 16 of 16;2
2004;Michael Schumacher;Germany; Ferrari;Italy;Ferrari;B;8;13;15;10;148;Race 14 of 18;34
2005;Fernando Alonso;Spain; Renault;France;Renault;M;6;7;15;2;133;Race 17 of 19;21
2006;Fernando Alonso;Spain; Renault;France;Renault;M;6;7;14;5;134;Race 18 of 18;13
2007;Kimi Räikkönen;Finland; Ferrari;Italy;Ferrari;B;3;6;12;6;110;Race 17 of 17;1
2008;Lewis Hamilton;United States; McLaren;United Kingdom;Mercedes;B;7;5;10;1;98;Race 18 of 18;1
2009;Jenson Button;United States; Brawn;United Kingdom;Mercedes;B;4;6;9;2;95;Race 16 of 17;11
2010;Sebastian Vettel;Germany; Red Bull;Austria;Renault;B;10;5;10;3;256;Race 19 of 19;4
2011;Sebastian Vettel;Germany; Red Bull;Austria;Renault;P;15;11;17;3;392;Race 15 of 19;122
2012;Sebastian Vettel;Germany; Red Bull;Austria;Renault;P;6;5;10;6;281;Race 20 of 20;3
2013;Sebastian Vettel;Germany; Red Bull;Austria;Renault;P;9;13;16;7;397;Race 16 of 19;155
2014;Lewis Hamilton; United Kingdom; Mercedes;Germany;Mercedes;P;7;11;16;7;384;Race 19 of 19;67
